name,title,currentverison,developer,lastupdated,forFF,forFF55up,forChrom,category,iconURL,firefoxURL,chromeURL,,
contextSearch,Context Search,,,,TRUE,,FALSE,search,,https://addons.mozilla.org/en-US/firefox/addon/context-search/?src=search,N/A,,
febe,FEBE,,,,TRUE,,FALSE,backup,,http://customsoftwareconsult.com/extension,N/A,,
headermonitor,Header Monitor,,,,TRUE,,FALSE,header,,,N/A,,
headertool,HeaderTool,,,,TRUE,,FALSE,header,,https://addons.mozilla.org/en-US/firefox/addon/header-tool/?src=search,N/A,,
noscript,Noscript,,,,TRUE,,FALSE,security,,https://addons.mozilla.org/en-US/firefox/addon/noscript/?src=cb-dl-users,N/A,,
organizesearchengines,Organize Search Engines,,,,TRUE,,FALSE,,,,N/A,,
placesmaintence,Places Maintenance ,,,,TRUE,,FALSE,profile,,https://addons.mozilla.org/en-US/firefox/addon/places-maintenance/?src=search,N/A,,
preferencecleaner,Preference Cleaner,,,,TRUE,,FALSE,profile,,,N/A,,
profileswitcher,Profile Switcher ,,,,TRUE,,FALSE,profile,,,N/A,,
status4evar,Status-4 Evar,,,,TRUE,,FALSE,cosmetic,,https://addons.mozilla.org/en-US/firefox/addon/status-4-evar/?src=search,N/A,,
switchy,Switchy,,,,TRUE,profile,FALSE,,,https://addons.mozilla.org/en-US/firefox/addon/switchy/?src=search,N/A,,
vacuumplacesimproved,Vacuum Places Improved,,,,TRUE,,FALSE,profile,,https://addons.mozilla.org/en-US/firefox/addon/vacuum-places-improved/?src=search,N/A,,
privacybadger,Privacy Badger,,,,TRUE,TRUE,TRUE,security,,https://addons.mozilla.org/en-US/firefox/addon/privacy-badger17/?src=search,,,
ublock,Ublock Origin,,Raymond Gorhill,,TRUE,TRUE,TRUE,adblocker,,https://addons.mozilla.org/en-US/firefox/addon/ublock-origin/?src=search,,,
umatrix,Umatrix,,Raymond Gorhill,,TRUE,,TRUE,adblocker,,https://addons.mozilla.org/en-US/firefox/addon/umatrix/?src=search,,,
antdownloader,Ant Video Downloader,,,,TRUE,,,download,,https://addons.mozilla.org/en-US/firefox/addon/video-downloader-player/?src=search,N/A,,
downloaderhelper,Video Download Helper,,,,,,,download,,https://addons.mozilla.org/en-US/firefox/addon/video-downloadhelper/?src=cb-dl-users,N/A,,
downloadmangertweak,DownloadManagerTweak,,,,TRUE,,,download,,,N/A,,
downloadstatusbar,Download Statusbar,,,,TRUE,,,download,,,,,out of date
downloadthemall,DownloadThemAll,3.08,,"Sept 29, 2016",TRUE,,,download,,https://addons.mozilla.org/en-US/firefox/addon/downthemall/?src=cb-dl-mostpopular,,,
hidecaption,Hide Caption Titlebar,,,,TRUE,,,,,https://addons.mozilla.org/en-US/firefox/addon/hide-caption-titlebar-plus-sma/?src=search,,,
lazurus,Lazurus: Form Recovery,,,,TRUE,,,form control,,https://addons.mozilla.org/en-US/firefox/addon/lazarus-form-recovery/?src=search,,,
whatruns,WhatRuns,,,,TRUE,,,development,,,,,
privacysettings,Privacy Settings,,,,TRUE,,,security,,https://addons.mozilla.org/en-US/firefox/addon/privacy-settings/?src=search,,,
lastpass,Last Pass,,,,,,TRUE,password,,,,,
sessionmanager,Session Manager,,,,,,,,,http://sessionmanager.mozdev.org/,,,
showip,Show IP,,,,,,,,,http://code.google.com/p/firefox-showip/,,,
shortlyURL,Shortly URL Shortener,,,,,,,shortener,,https://addons.mozilla.org/en-US/firefox/addon/shortly-url-shortener/?src=collection&amp;collection_id=1e168743-04ef-e0f0-9d1f-2f01da8422f0,,,
useragentswitcher,User Agent Switcher,,,,,,,,,https://addons.mozilla.org/en-US/firefox/addon/user-agent-switcher/?src=ss,,,
unshortenit,Unshorten It,,,,,,,shortener,,http://www.unshorten.it/,,,
reloadplus,Reload Plus,,,,,,,,,https://addons.mozilla.org/en-US/firefox/addon/reload-plus,,,
maf,Mozilla Archive Format,,,,,,,,,,,,
flashvideodownloader,Flash Video Downloader,,,,,,,,,http://www.flashvideodownloader.org/,,,
locationbarenhancer,Location Bar Enhancer,,,,,,,,,,,,
onmisidebar,,,,,,,,,,,,,
