appname,appversion,appmaincat,appsubcat,appdescription,appurl,crossplatform,linuxonly,windowsonly,worksonwine,sshotURL
abiword,2.8.6,,wordprocessor,,https://www.abisource.com/,YES,NO,NO,,
aimp,4.13 build 1897,multimedia,Music Player,,https://www.aimp.ru/,NO,NO,YES,YES,
atom,1.10.x,productivty,codeeditor,,https://atom.io,YES,NO,NO,,
audacious,3.9,multimedia,Music Player,,http://audacious-media-player.org,YES,NO,NO,,
auslogicdefrag,7.1.5.0,systemtools,defrag,,https://www.auslogics.com/en/software/disk-defrag/,NO,NO,YES,,
bleachbit,1.12,,cleaner,,https://www.bleachbit.org/,YES,NO,NO,,
bullzippdf,11.4.2674,,pdfcreator,,http://www.bullzip.com/products/pdf/info.php,NO,NO,YES,,
burnaware,10.5,,burner,,http://www.burnaware.com,NO,NO,YES,,
ccleaner,5.34.6207,,systemsuite,,https://www.piriform.com/ccleaner/download,NO,NO,YES,,
cdburnerxp,4.5.7,,burner,,https://www.cdburnerxp.se,NO,NO,YES,,
chocalatey,,,installer/updater,,https://chocolatey.org/,NO,NO,YES,,
chromium,63.0.3219.0,internet,Web Browser,,http://www.chromium.org/Home,YES,NO,NO,,
clemintine,1.3.1,multimedia,Music Player and Utility,,https://www.clementine-player.org,YES,NO,NO,,
deadbeef,0.72,multimedia,Music Player,,http://deadbeef.sourceforge.net,NO,YES,NO,,
defraggler,2.21.993,systemtools,defrag,,https://www.piriform.com/defraggler,NO,NO,YES,,
dopdf,8.9 build 951,,pdfcreator,,http://www.dopdf.com/,NO,NO,YES,,
driverbooster,4.5.0.527,systemtools,driverrelated,,http://www.iobit.com/en/driver-booster.php,NO,NO,YES,,
editpadlite,7.6.1,,texteditor,,https://www.editpadlite.com/,NO,NO,YES,,
faststone,6.4,,Image Editor/Viewer,,http://faststone.org/FSViewerDetail.htm,,,,,
firefox,55.0.3,internet,Web Browser,,https://www.mozilla.org/en-US/firefox/new/,YES,NO,NO,,
foxitreader,8.3.2.25013,,documentreader,,http://www.foxitsoftware.com/,YES,NO,NO,,
geany,1.3.1,productivty,texteditor,,https://sourceforge.net/projects/geany/,YES,NO,NO,,
glaryutilties,5.83,systemtools,systemsuite,,http://www.glarysoft.com,NO,NO,YES,,
gnomempv,,multimedia,Video Player,Gnome/GUI Fronend to mpv,https://gnome-mpv.github.io,NO,YES,NO,,
gomplayer,2.3.19.5276,,Video Player,,http://player.gomlab.com/,NO,NO,YES,,
googlechrome,61.0.3163.91,internet,Web Browser,,https://www.google.com/chrome/browser/index.html,YES,NO,NO,,
hexchat,2.12.4,internet,IRC Chat Client,,https://hexchat.github.io/,YES,NO,NO,,
hitmanpro,3.7.20.286,Security,malwarescanner,,https://www.hitmanpro.com/en-us.aspx,NO,NO,YES,,
irfanview,4.44,graphics,Image Editor/Viewer,,http://www.irfanview.com/,NO,NO,YES,,
kmplayer,4.2.2.2,,Video Player,,http://www.kmplayer.com/,NO,NO,YES,,
libreoffice,5.4.1.2,productivty,officesuite,,https://www.libreoffice.org/,YES,NO,NO,,
malwarebytes,3.2.2,Security,malwarescanner,,https://www.malwarebytes.com/,NO,NO,YES,,
mp3nity,2.2.105,multimedia,id3tag,,http://www.littlelan.com/mp3nity/,NO,NO,YES,,
mpv,0.27.0 build 20170913,multimedia,Video Player,,https://mpv.io/,YES,NO,NO,,
nirsoftlauncher,1.20.12,,systemsuite,,http://launcher.nirsoft.net/,NO,NO,YES,,
notepadplusplus,7.5.1,productivty,texteditor,,https://notepad-plus-plus.org,NO,NO,YES,,
orbit,4.1.1.19,,downloadmanager,,http://www.orbitdownloader.com/,,,,,
patchmypc,,,installer/updater,,https://patchmypc.net/overview,NO,NO,YES,,
pdfcreator,,,pdfcreator,,http://www.pdfforge.org/,NO,NO,YES,,
pdfxchangeviewer,,,documentreader,,http://www.pdfxviewer.com/,NO,NO,YES,,
privazer,3.0.27,,cleaner,,http://privazer.com/,NO,NO,YES,,
smplayer,17.9.0,multimedia,Video Player,,http://smplayer.sourceforge.net/,YES,NO,NO,,
spotify,1.063.617,multimedia,Music Player,,https://www.spotify.com,YES,NO,NO,,
sumatrapdf,3.12,,documentreader,,http://blog.kowalczyk.info/software/sumatrapdf,NO,NO,YES,,
tagscanner,6.0.23,multimedia,id3tag,,http://www.xdlab.ru/en/,NO,NO,YES,,
vivaldi,1.11,internet,Web Browser,,https://vivaldi.com/,YES,NO,NO,,
vlc,2.2.6,multimedia,Video Player and Utility ,,https://www.videolan.org/vlc/index.html,YES,NO,NO,,
wisecare,4.71,systemtools,systemsuite,,http://www.wisecleaner.com/wise-care-365.html,NO,NO,YES,,
xatimageopt,,,Image Editor/Viewer,,http://www.softpedia.com/get/Multimedia/Graphic/Graphic-Others/Image-Optimizer-Pro.shtml,NO,NO,YES,,
xnview,2.41,graphics,Image Editor/Viewer,,http://www.xnview.com/,YES,NO,NO,,
